A1,A2,A3,A4,A6,A8,A10,A12,A13,A15,A17,A18,A19,A21,A22,A23,A25,A27,B1,B2,B3,B6,B8,B12,B13,B14,id,A5_o,A7_o,A9_o,A11_o,A14_o,A16_o,A20_per_o,A20_last_o,A24_o,A26_o,A28_per_o,A28_last_o,B4_per_o,B4_last_o,B5_o,B7_o,B9_per_o,B9_last_o,B10_per_o,B10_last_o,B11_per_o,B11_last_o,target
300,,405.0,700,26.0,,100,101.0,0.2,104.0,103.0,0.2,200,50.0,10.0,5.0,70.0,77.0,300.0,3.5,3.5,60,36.0,800.0,0.15,400,sample_1013,0,0,82800,82800,82800,82800,0,84600,0,84600,0,82800,0,82800,84600,77400,68400,81000,82800,81000,0,0,0.9129999999999999
300,,405.0,700,21.0,,100,102.0,0.2,103.0,105.0,0.2,200,50.0,9.0,5.0,70.0,78.0,270.0,3.5,3.5,60,40.0,800.0,0.15,400,sample_1016,0,0,81000,82800,82800,82800,84600,84600,84600,84600,64800,82800,3600,81000,0,68400,84600,81000,82800,82800,0,0,0.8909999999999999
300,,405.0,700,32.0,,100,102.0,0.2,103.0,105.0,0.2,200,40.0,9.0,5.0,70.0,78.0,,3.5,3.5,60,37.0,800.0,0.15,400,sample_1017,0,0,82800,82800,82800,82800,84600,84600,19800,63000,0,82800,0,81000,0,77400,68400,82800,81000,81000,0,0,0.902
300,,405.0,700,36.0,,100,102.0,0.2,102.0,104.0,0.2,200,50.0,10.0,5.0,70.0,70.0,300.0,3.5,3.5,60,40.0,800.0,0.15,400,sample_1018,0,0,82800,82800,82800,82800,0,84600,0,84600,0,82800,0,81000,0,77400,64800,81000,82800,81000,0,0,0.902
300,,405.0,700,30.0,,101,103.0,0.2,105.0,106.0,0.2,200,50.0,9.0,5.0,80.0,73.0,3.5,3.5,3.5,80,45.0,1200.0,0.15,420,sample_102,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,77400,1800,81000,0,82800,0.902
300,,405.0,700,21.0,,100,102.0,0.2,104.0,105.0,0.2,200,50.0,10.0,5.0,70.0,77.0,300.0,3.5,3.5,60,37.0,800.0,0.15,400,sample_1020,0,0,63000,14400,82800,82800,81000,84600,1800,84600,77400,81000,0,81000,0,75600,82800,81000,82800,81000,0,0,0.9420000000000001
300,,405.0,700,35.0,,100,100.0,0.2,103.0,103.0,0.2,200,50.0,10.0,5.0,70.0,77.0,300.0,3.5,3.5,65,37.0,800.0,0.15,400,sample_1021,0,0,81000,82800,82800,82800,84600,84600,84600,84600,68400,82800,0,81000,0,75600,84600,81000,82800,81000,0,0,0.902
300,,405.0,700,21.0,,100,102.0,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,70.0,78.0,290.0,3.5,3.5,60,50.0,800.0,0.15,400,sample_1023,0,0,79200,82800,82800,82800,84600,84600,84600,84600,73800,82800,0,81000,0,70200,84600,81000,84000,80400,0,0,0.8909999999999999
300,,405.0,700,35.0,,100,101.0,0.2,103.0,103.0,0.2,200,50.0,10.0,5.0,70.0,77.0,290.0,3.5,3.5,65,45.0,800.0,0.15,400,sample_1025,0,0,82800,82800,82800,82800,0,84600,0,84600,66600,82800,0,82800,0,77400,82800,81000,82800,81000,0,0,0.902
300,,405.0,700,21.0,,100,102.0,0.2,103.0,105.0,0.2,200,50.0,9.0,5.0,70.0,78.0,280.0,3.5,3.5,64,50.0,800.0,0.15,400,sample_1026,0,0,81000,82800,82800,82800,84600,84600,84600,84600,70200,82800,0,82800,0,79200,72000,81000,84600,81000,0,0,0.902
300,,405.0,700,34.0,,100,103.0,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,70.0,75.0,290.0,3.5,3.5,65,40.0,800.0,0.15,400,sample_1027,0,0,79200,82800,82800,84000,83400,84600,84600,84600,84600,82800,84600,81000,0,82800,63000,82800,81000,81000,0,0,0.902
300,,405.0,700,34.0,,100,102.0,0.2,103.0,105.0,0.2,200,50.0,9.0,5.0,70.0,78.0,290.0,3.5,3.5,65,45.0,800.0,0.15,400,sample_1029,0,0,81000,82800,82800,82800,84600,84600,84600,84600,70200,82800,0,82800,0,75600,81000,81000,82800,81000,0,0,0.8909999999999999
300,,405.0,700,29.0,,102,103.0,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,78.0,73.0,320.0,3.5,3.5,80,45.0,1200.0,0.15,400,sample_103,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,82800,0.902
300,,405.0,700,21.0,,100,102.0,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,70.0,78.0,300.0,3.5,3.5,65,45.0,800.0,0.15,400,sample_1030,0,0,81000,82800,82800,82800,84600,84600,84600,84600,68400,82800,0,82800,0,75600,81000,81000,82800,81000,0,0,0.902
300,,405.0,700,36.0,,100,102.0,0.2,104.0,105.0,0.2,200,30.0,9.0,5.0,70.0,78.0,300.0,3.5,3.5,65,40.0,800.0,0.15,400,sample_1031,0,0,81000,82800,82800,82800,84600,84600,84600,84600,54000,82800,0,82800,0,82800,0,81000,82800,81000,0,0,0.902
300,,405.0,700,34.0,,100,102.0,0.2,103.0,105.0,0.2,200,50.0,10.0,5.0,70.0,77.0,300.0,3.5,3.5,60,36.0,800.0,0.15,400,sample_1032,0,0,81000,82800,82800,82800,84600,84600,84600,84600,0,82800,0,81000,0,79200,61200,81000,84600,79200,0,0,0.902
300,,405.0,700,21.0,,100,102.0,0.2,104.0,105.0,0.2,200,40.0,9.0,5.0,70.0,78.0,300.0,3.5,3.5,65,45.0,800.0,0.15,400,sample_1034,0,0,81000,82800,82800,82800,84600,84600,63000,84600,0,82800,0,81000,0,79200,81000,81000,82800,81000,0,0,0.8909999999999999
300,,405.0,700,34.0,,100,102.0,0.2,104.0,104.0,0.2,200,50.0,10.0,5.0,70.0,77.0,290.0,3.5,3.5,65,45.0,800.0,0.15,400,sample_1036,0,0,81000,82800,82800,82800,84600,84600,84600,84600,72000,82800,0,82800,0,77400,79200,81000,84600,81000,0,0,0.9470000000000001
300,,405.0,700,21.0,,100,102.0,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,70.0,78.0,300.0,3.5,3.5,65,45.0,800.0,0.15,400,sample_1037,0,0,81000,82800,82800,82800,84600,84600,84600,84600,73800,82800,84600,81000,0,75600,82800,81000,82800,81000,0,0,0.902
300,,405.0,700,21.0,,100,102.0,0.2,103.0,105.0,0.2,200,20.0,10.0,5.0,70.0,78.0,290.0,3.5,3.5,60,40.0,800.0,0.15,400,sample_1038,0,0,81000,82800,82800,82800,84600,84600,84600,84600,73800,82800,0,82800,0,77400,77400,81000,82800,81000,0,0,0.902
300,,405.0,700,29.0,,102,103.0,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,79.0,72.0,320.0,3.5,3.5,80,45.0,1200.0,0.15,400,sample_104,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,82800,0.902
200,,270.0,470,21.0,,100,102.0,0.2,103.0,104.0,0.2,300,30.0,9.0,5.0,70.0,77.0,200.0,3.5,3.5,65,45.0,400.0,0.15,260,sample_1041,0,0,81000,82800,82800,82800,84600,84600,84600,84600,1200,81600,0,81000,0,77400,84600,79200,0,0,0,0,0.902
200,,270.0,470,33.0,,100,102.0,0.2,103.0,105.0,0.2,300,30.0,9.0,5.0,70.0,76.0,190.0,3.5,3.5,65,45.0,400.0,0.15,280,sample_1042,0,0,79200,82800,82800,82800,0,84600,84600,84600,72000,82800,0,81000,0,79200,84600,79200,0,0,0,0,
200,,270.0,470,26.0,,100,100.0,0.2,102.0,102.0,0.2,300,30.0,9.0,5.0,70.0,78.0,190.0,3.5,3.5,65,45.0,400.0,0.15,260,sample_1044,0,0,81000,82800,82800,82800,84600,84600,84600,84600,68400,82800,82800,82800,0,75600,82800,79200,0,0,0,0,0.879
250,,340.0,590,22.0,,100,101.0,0.2,103.0,105.0,0.2,300,90.0,9.0,5.0,70.0,78.0,220.0,3.5,3.5,65,50.0,400.0,0.15,340,sample_1046,0,0,81000,82800,82800,82800,84600,84600,82800,84600,14400,66600,73800,79200,0,68400,82800,79200,0,0,0,0,0.9470000000000001
250,,340.0,590,21.0,,100,101.0,0.2,104.0,104.0,0.2,300,30.0,10.0,5.0,70.0,78.0,240.0,3.5,3.5,65,45.0,400.0,0.15,350,sample_1047,0,0,81000,82800,82800,82800,84600,84600,84600,84600,0,82800,0,81000,0,79200,75600,79200,0,0,0,0,0.879
250,,340.0,590,24.0,,100,101.0,0.2,102.0,105.0,0.2,300,30.0,9.0,5.0,70.0,78.0,240.0,3.5,3.5,65,45.0,400.0,0.15,340,sample_1048,0,0,81000,82800,82800,82800,84600,84600,84600,84600,77400,82800,0,82800,0,21600,43200,79200,0,0,0,0,0.92
250,,340.0,590,21.0,,100,102.0,0.2,104.0,105.0,0.2,300,30.0,9.0,5.0,70.0,78.0,240.0,3.5,3.5,65,50.0,800.0,0.15,340,sample_1049,0,0,81000,82800,82800,82800,84600,84600,84600,84600,81000,82800,0,82800,0,57600,0,81000,82800,82800,0,0,0.9470000000000001
300,,405.0,700,29.0,,101,103.0,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80.0,72.0,320.0,3.5,3.5,80,45.0,1200.0,0.15,420,sample_105,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,82800,0.92
300,,405.0,700,24.0,,100,101.0,0.2,103.0,103.0,0.2,300,50.0,9.0,5.0,70.0,78.0,360.0,3.5,3.5,65,45.0,800.0,0.15,400,sample_1052,0,0,81000,82800,82800,82800,84600,84600,84600,84600,68400,82800,0,82800,0,75600,79200,73800,84600,81000,0,0,0.92
300,,405.0,700,21.0,,100,102.0,0.2,103.0,105.0,0.2,300,50.0,9.0,5.0,70.0,78.0,360.0,3.5,3.5,65,50.0,800.0,0.15,400,sample_1053,0,0,81000,82800,82800,82800,84600,84600,84600,84600,61200,82800,0,82800,0,66600,81000,81000,0,82800,0,0,0.9229999999999999
300,,405.0,700,31.0,,100,102.0,0.2,104.0,105.0,0.2,300,50.0,9.0,5.0,70.0,78.0,360.0,3.5,3.5,65,65.0,800.0,0.15,420,sample_1054,0,0,81000,82800,82800,82800,84600,84600,84600,84600,46800,82800,0,81000,0,79200,0,79200,82800,81000,0,0,0.902
300,,405.0,700,21.0,,100,102.0,0.2,104.0,105.0,0.2,300,50.0,9.0,5.0,70.0,78.0,330.0,3.5,3.5,65,50.0,800.0,0.15,420,sample_1055,0,0,81000,82800,82800,82800,84600,84600,84600,84600,55800,82800,0,81000,0,73800,0,81000,84600,82800,0,0,0.902
300,,405.0,700,28.0,,100,101.0,0.2,102.0,105.0,0.2,300,50.0,9.0,5.0,70.0,78.0,330.0,3.5,3.5,65,50.0,800.0,0.15,420,sample_1056,0,0,81000,82800,82800,82800,84600,84600,84600,84600,64800,82800,84600,81000,82800,72000,0,81000,84600,81000,0,0,0.9470000000000001
300,,405.0,700,24.0,,100,102.0,0.2,104.0,105.0,0.2,300,50.0,9.0,5.0,70.0,78.0,320.0,3.5,3.5,65,45.0,800.0,0.15,420,sample_1058,0,0,81000,82800,82800,82800,84600,84600,84600,84600,68400,82800,79200,81000,0,72000,84600,81000,84600,81000,0,0,0.9470000000000001
300,,405.0,700,30.0,,100,102.0,0.2,104.0,106.0,0.2,200,50.0,9.0,5.0,80.0,73.0,320.0,3.5,3.5,79,45.0,1200.0,0.15,400,sample_106,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,82800,0.935
300,,405.0,700,23.0,,100,101.0,0.2,103.0,105.0,0.2,300,50.0,9.0,5.0,70.0,78.0,340.0,3.5,3.5,65,50.0,800.0,0.15,420,sample_1060,0,0,81000,82800,82800,82800,84600,84600,84600,84600,63000,82800,0,81000,0,77400,82800,79200,82800,79200,0,0,0.9470000000000001
300,,405.0,700,24.0,,100,101.0,0.2,103.0,103.0,0.2,300,50.0,10.0,5.0,70.0,78.0,340.0,3.5,3.5,65,45.0,800.0,0.15,420,sample_1061,0,0,81000,82800,82800,82800,84600,84600,84600,84600,64800,82800,0,82800,0,77400,70200,81000,82800,81000,0,0,0.902
300,,405.0,700,28.0,,100,102.0,0.2,104.0,103.0,0.2,300,50.0,9.0,5.0,70.0,78.0,330.0,3.5,3.5,65,45.0,800.0,0.15,420,sample_1062,0,0,81000,82800,82800,82800,75600,84600,84600,84600,52200,82800,0,82800,0,79200,81000,81000,82800,81000,0,0,0.9420000000000001
300,,405.0,700,21.0,,100,103.0,0.2,104.0,105.0,0.2,300,50.0,9.0,5.0,70.0,78.0,350.0,3.5,3.5,65,45.0,800.0,0.15,420,sample_1063,0,0,82800,81000,82800,82800,84600,84600,84600,0,59400,82800,0,81000,0,68400,0,81000,82800,81000,0,0,0.9470000000000001
300,,405.0,700,21.0,,100,101.0,0.2,102.0,102.0,0.2,300,50.0,10.0,5.0,70.0,78.0,340.0,3.5,3.5,65,45.0,800.0,0.15,420,sample_1065,0,0,81000,82800,82800,82800,84600,84600,77400,84600,59400,82800,0,82800,0,77400,79200,81000,84600,81000,0,0,0.9470000000000001
300,,405.0,700,21.0,,100,102.0,0.2,104.0,105.0,0.2,300,50.0,9.0,5.0,70.0,78.0,340.0,3.5,3.5,65,45.0,800.0,0.15,420,sample_1066,0,0,81000,82800,82800,82800,84600,84600,84600,84600,63000,82800,0,82800,0,63000,0,81000,84600,81000,0,0,0.9470000000000001
300,,405.0,700,21.0,,100,102.0,0.2,104.0,105.0,0.2,300,50.0,9.0,5.0,70.0,78.0,340.0,3.5,3.5,65,45.0,800.0,0.15,420,sample_1067,0,0,81000,82800,82800,82800,84600,84600,84600,84600,55800,82800,0,81000,0,72000,0,81000,82800,81000,0,0,0.935
300,,405.0,700,24.0,,100,101.0,0.2,102.0,101.0,0.2,300,50.0,10.0,5.0,70.0,78.0,350.0,3.5,3.5,65,45.0,800.0,0.15,420,sample_1068,0,0,81000,82800,82800,82800,84600,84600,84600,84600,63000,82800,0,81000,0,81000,0,81000,84600,81000,0,0,0.9229999999999999
300,,405.0,700,21.0,,100,102.0,0.2,104.0,105.0,0.2,300,50.0,9.0,5.0,70.0,78.0,330.0,3.5,3.5,65,45.0,800.0,0.15,420,sample_1069,0,0,81000,82800,82800,82800,84600,84600,84600,84600,0,84600,0,81000,0,75600,79200,81000,84600,81000,0,0,0.935
300,,405.0,700,29.0,,100,102.0,0.2,103.0,105.0,0.2,200,50.0,9.0,5.0,78.0,73.0,320.0,3.5,3.5,80,45.0,1200.0,0.15,400,sample_107,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,82800,0.9229999999999999
300,,405.0,700,24.0,,100,100.0,0.2,101.0,103.0,0.2,300,50.0,10.0,5.0,70.0,78.0,340.0,3.5,3.5,65,45.0,800.0,0.15,420,sample_1072,0,0,81000,82800,82800,82800,84600,84600,84600,84600,70200,82800,0,82800,0,75600,79200,81000,84600,81000,0,0,0.9470000000000001
300,,405.0,700,24.0,,100,102.0,0.2,104.0,104.0,0.2,300,50.0,9.0,5.0,70.0,78.0,330.0,3.5,3.5,65,45.0,800.0,0.15,420,sample_1073,0,0,81000,82800,82800,82800,75600,84600,84600,84600,63000,81000,82800,81000,0,75600,84600,81000,84600,81000,0,0,0.902
300,,405.0,700,21.0,,100,102.0,0.2,104.0,105.0,0.2,300,50.0,9.0,5.0,70.0,78.0,340.0,3.5,3.5,65,50.0,800.0,0.15,420,sample_1074,0,0,81000,82800,82800,82800,79200,84600,84600,84600,68400,82800,0,81000,0,68400,0,81000,84600,81000,0,0,0.888
300,,405.0,700,24.0,,100,102.0,0.2,102.0,102.0,0.2,300,50.0,10.0,5.0,70.0,78.0,340.0,3.5,3.5,65,45.0,800.0,0.15,420,sample_1076,0,0,81000,82800,82800,82800,81000,84600,82800,84600,66600,82800,0,81000,0,75600,79200,81000,84600,81000,0,0,0.912
300,,405.0,700,21.0,,100,102.0,0.2,103.0,108.0,0.2,300,50.0,9.0,5.0,70.0,78.0,350.0,3.5,3.5,65,45.0,800.0,0.15,400,sample_1078,0,0,81000,82800,82800,82800,84600,84600,84600,84600,57600,82800,0,81000,0,72000,0,81000,82800,81000,0,0,0.935
300,,405.0,700,27.0,,100,101.0,0.2,103.0,105.0,0.2,300,50.0,10.0,5.0,70.0,78.0,350.0,3.5,3.5,65,45.0,800.0,0.15,400,sample_1079,0,0,81000,82800,82800,82800,75600,84600,84600,84600,63000,82800,0,81000,0,75600,79200,81000,82800,81000,0,0,0.9470000000000001
300,,405.0,700,26.0,,100,102.0,0.2,104.0,104.0,0.2,300,50.0,10.0,5.0,70.0,78.0,350.0,3.5,3.5,65,45.0,800.0,0.15,400,sample_1080,0,0,81000,82800,82800,82800,84600,84600,84600,84600,52200,82800,0,82800,0,75600,84600,81000,84600,81000,0,0,0.902
300,,405.0,700,21.0,,100,102.0,0.2,104.0,105.0,0.2,300,50.0,9.0,5.0,70.0,78.0,300.0,3.5,3.5,65,45.0,800.0,0.15,400,sample_1081,0,0,81000,82800,82800,82800,81000,84600,84600,84600,66600,82800,0,82800,0,72000,79200,81000,82800,81000,0,0,0.902
300,,405.0,700,27.0,,100,101.0,0.2,103.0,105.0,0.2,300,50.0,9.0,5.0,70.0,78.0,340.0,3.5,3.5,65,50.0,800.0,0.15,400,sample_1082,0,0,81000,82800,82800,82800,84600,84600,84600,84600,72000,82800,0,81000,0,70200,0,81000,82800,81000,0,0,0.8740000000000001
300,,405.0,700,23.0,,100,102.0,0.2,103.0,102.0,0.2,300,50.0,10.0,5.0,70.0,78.0,340.0,3.5,3.5,65,45.0,800.0,0.15,400,sample_1083,0,0,81000,82800,82800,82800,84600,84600,84600,84600,59400,82800,0,81000,0,77400,81000,81000,82800,81000,0,0,0.902
300,,405.0,700,21.0,,100,102.0,0.2,103.0,105.0,0.2,300,50.0,9.0,5.0,70.0,78.0,350.0,3.5,3.5,65,45.0,800.0,0.15,400,sample_1085,0,0,81000,82800,82800,82800,82800,84600,84600,84600,55800,82800,0,82800,0,68400,0,81000,82800,81000,0,0,0.902
300,,405.0,700,28.0,,100,101.0,0.2,103.0,105.0,0.2,300,50.0,9.0,5.0,70.0,78.0,340.0,3.5,3.5,65,45.0,800.0,0.15,400,sample_1086,0,0,81000,82800,82800,82800,79200,84600,84600,84600,61200,82800,0,81000,0,73800,0,81000,82800,81000,0,0,0.8909999999999999
300,,405.0,700,28.0,,100,101.0,0.2,102.0,102.0,0.2,300,50.0,9.0,5.0,70.0,78.0,340.0,3.5,3.5,65,45.0,800.0,0.15,400,sample_1087,0,0,81000,82800,82800,82800,84600,84600,84600,84600,48600,82800,0,81000,0,73800,84600,81000,84600,81000,0,0,0.879
300,,405.0,700,21.0,,100,102.0,0.2,104.0,105.0,0.2,300,50.0,9.0,5.0,70.0,78.0,330.0,3.5,3.5,65,50.0,800.0,0.15,420,sample_1089,0,0,81000,82800,82800,82800,84600,84600,84600,84600,63000,82800,0,81000,0,77400,79200,81000,82800,81000,0,0,0.8909999999999999
300,,405.0,700,28.0,,100,101.0,0.2,103.0,105.0,0.2,300,50.0,9.0,5.0,70.0,78.0,340.0,3.5,3.5,65,45.0,800.0,0.15,420,sample_1090,0,0,81000,82800,82800,82800,84600,84600,84600,84600,59400,82800,0,81000,0,77400,84600,81000,84600,81000,0,0,0.902
300,,405.0,700,26.0,,100,103.0,0.2,105.0,104.0,0.2,300,50.0,10.0,5.0,70.0,78.0,350.0,3.5,3.5,65,45.0,800.0,0.15,420,sample_1091,0,0,81000,82800,82800,82800,77400,84600,84600,84600,66600,82800,0,81000,0,73800,77400,81000,84600,81000,0,0,0.935
300,,405.0,700,21.0,,100,102.0,0.2,104.0,105.0,0.2,300,50.0,9.0,5.0,70.0,78.0,340.0,3.5,3.5,65,45.0,800.0,0.15,440,sample_1093,0,0,81000,82800,82800,82800,77400,84600,84600,84600,61200,82800,0,81000,0,72000,0,81000,82800,81000,0,0,0.935
300,,405.0,700,26.0,,100,102.0,0.2,102.0,104.0,0.2,300,50.0,10.0,5.0,70.0,78.0,340.0,3.5,3.5,65,45.0,800.0,0.15,420,sample_1095,0,0,81000,82800,82800,82800,84600,84600,84600,84600,55800,82800,0,81000,0,77400,81000,81000,82800,81000,0,0,0.935
300,,405.0,700,21.0,,100,102.0,0.2,103.0,104.0,0.2,300,50.0,9.0,5.0,70.0,78.0,340.0,3.5,3.5,65,50.0,800.0,0.15,440,sample_1096,0,0,81000,82800,82800,82800,79200,84600,84600,84600,61200,82800,0,81000,0,72000,0,81000,82800,81000,0,0,0.98
300,,405.0,700,21.0,,100,101.0,0.2,103.0,105.0,0.2,300,50.0,9.0,5.0,70.0,78.0,340.0,3.5,3.5,65,45.0,800.0,0.15,440,sample_1097,0,0,81000,82800,82800,82800,82800,84600,84600,84600,63000,82800,0,81000,0,68400,0,81000,82800,81000,0,0,0.935
300,,405.0,700,24.0,,100,101.0,0.2,103.0,104.0,0.2,300,50.0,10.0,5.0,70.0,78.0,340.0,3.5,3.5,65,45.0,800.0,0.15,420,sample_1099,0,0,81000,82800,82800,82800,84600,84600,84600,84600,59400,82800,0,82800,0,75600,75600,81000,84600,81000,0,0,0.9670000000000001
300,,405.0,700,20.0,,100,102.0,0.2,102.0,102.0,0.2,300,40.0,10.0,5.0,70.0,78.0,310.0,3.5,3.5,60,40.0,800.0,0.15,420,sample_11,0,0,81000,82800,82800,82800,0,84600,84600,84600,46800,82800,0,82800,0,77400,70200,81000,84600,81000,0,0,0.9670000000000001
300,,405.0,700,29.0,,101,103.0,0.2,105.0,107.0,0.2,200,50.0,9.0,5.0,79.0,72.0,320.0,3.5,3.5,78,45.0,1200.0,0.15,400,sample_110,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,81000,0.9229999999999999
300,,405.0,700,28.0,,100,101.0,0.2,101.0,103.0,0.2,300,50.0,9.0,5.0,70.0,78.0,340.0,3.5,3.5,65,50.0,800.0,0.15,440,sample_1101,0,0,81000,82800,82800,82800,82800,84600,84600,84600,64800,82800,0,81000,0,73800,82800,81000,84600,81000,0,0,0.9229999999999999
300,,405.0,700,28.0,,100,102.0,0.2,104.0,104.0,0.2,300,50.0,10.0,5.0,70.0,78.0,340.0,3.5,3.5,65,45.0,800.0,0.15,440,sample_1102,0,0,81000,82800,82800,82800,75600,84600,84600,84600,61200,82800,0,81000,0,75600,0,81000,82800,81000,0,0,0.902
300,,405.0,700,29.0,,101,103.0,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80.0,73.0,320.0,3.5,3.5,80,45.0,1200.0,0.15,400,sample_1103,0,0,79200,82800,82800,82800,0,82800,0,79200,0,82800,0,82800,3600,75600,0,81000,0,81000,0,82800,0.9670000000000001
