id,A5,A6,A7,A8,A9,A10,A11,A12,A14,A15,A16,A17,A19,A20,A21,A22,A24,A25,A26,A27,A28,B1,B4,B5,B6,B7,B8,B9,B10,B11,B12,B14,target
sample_1159,17,1,0,0,11,2,11,0,11,0,11,0,1,1,1,0,20,2,12,1,0,0,1,8,1,8,1,0,0,1,1,2,0.956
sample_116,26,2,0,0,0,0,0,2,0,0,0,0,1,1,1,0,27,3,9,1,0,0,1,31,1,30,1,0,0,1,1,0,0.902
sample_1160,34,1,0,0,41,1,41,0,41,0,42,0,1,1,1,0,35,1,34,1,0,0,1,36,1,6,1,0,0,1,1,0,0.902
sample_1161,20,1,0,0,10,2,10,0,10,0,10,0,1,1,1,0,11,3,38,1,0,0,1,10,1,9,1,0,0,1,1,0,0.902
sample_1163,34,1,0,0,41,1,41,0,41,0,42,0,1,1,1,0,35,1,34,1,1,0,1,36,1,6,1,0,0,1,1,0,0.902
sample_1164,3,1,0,0,22,0,22,1,22,2,23,1,1,1,1,0,24,1,21,6,0,0,2,27,2,12,1,2,1,4,1,0,0.891
sample_1165,8,17,0,0,8,0,8,0,8,0,8,2,1,1,1,0,37,2,39,2,0,16,1,18,6,35,9,2,1,1,1,2,0.935
sample_1167,8,4,0,0,27,1,27,0,27,3,28,2,1,1,1,0,8,2,8,5,0,0,1,38,2,10,1,0,0,1,1,0,0.891
sample_1168,26,1,0,0,0,2,0,0,0,0,0,0,1,1,1,0,27,3,9,1,0,0,1,31,5,30,1,0,0,1,1,0,0.925
sample_117,3,1,0,0,22,2,22,0,22,0,23,0,1,1,1,0,24,1,18,1,0,0,1,23,1,12,1,0,0,1,1,2,0.935
sample_1171,3,1,0,0,22,1,22,0,22,0,23,0,1,1,1,0,24,3,18,1,0,0,1,23,7,12,1,0,0,1,1,0,0.925
sample_1172,8,1,0,0,27,2,27,0,27,0,28,0,1,1,1,0,8,3,24,1,0,0,1,18,7,26,1,0,0,1,1,2,0.971
sample_1173,26,1,0,0,0,2,0,0,0,0,0,0,1,1,1,0,27,2,9,3,0,0,1,31,1,30,1,0,0,1,1,0,0.936
sample_1174,3,2,0,0,22,0,22,0,22,3,23,3,1,1,1,0,24,1,18,1,0,0,1,23,1,12,1,0,0,1,1,0,0.925
sample_1175,8,1,0,0,27,1,27,0,27,0,28,0,1,1,1,0,8,1,24,1,0,0,1,18,1,26,1,0,0,1,1,2,0.983
sample_1177,3,1,0,0,22,2,22,0,22,0,23,0,1,2,1,0,24,1,18,1,0,0,1,23,5,12,1,0,0,1,1,0,0.947
sample_1178,35,1,0,0,27,2,27,0,27,0,28,3,1,1,1,0,8,2,24,1,0,0,1,18,1,26,1,0,0,1,1,2,0.983
sample_118,8,1,0,0,27,1,27,0,27,0,28,0,1,1,1,0,8,1,24,1,0,0,1,18,1,26,1,0,0,1,1,0,0.902
sample_1180,3,1,0,0,22,1,22,0,22,0,23,0,1,1,1,0,24,3,18,1,0,0,1,23,3,12,1,0,0,1,1,0,0.947
sample_1181,8,1,0,0,27,2,27,0,27,0,28,0,1,1,1,0,8,3,24,1,0,0,1,18,1,26,1,0,0,1,1,2,0.995
sample_1182,26,1,0,0,0,1,0,2,0,0,0,3,1,1,1,0,27,1,9,1,0,0,1,31,5,30,1,0,0,1,1,0,0.936
sample_1183,3,2,0,0,22,1,22,0,22,0,23,0,1,1,1,0,24,1,18,1,0,0,1,23,1,12,1,0,0,1,1,0,0.925
sample_1185,26,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,27,3,9,5,0,0,1,31,1,30,1,0,0,1,1,0,0.947
sample_1187,8,2,0,0,27,2,27,0,27,3,28,3,1,1,1,0,8,3,24,1,0,0,1,18,1,26,1,0,0,1,1,2,0.983
sample_1191,26,14,0,0,0,1,0,2,0,3,0,2,1,1,1,0,27,2,9,5,0,0,1,31,8,30,1,0,0,1,1,0,0.925
sample_1193,8,1,0,0,27,1,27,2,27,0,28,3,1,1,1,0,8,1,24,3,0,0,1,18,3,26,1,0,0,1,1,2,0.971
sample_1195,3,1,0,0,22,2,22,0,22,0,23,0,1,1,1,0,24,1,18,1,0,0,1,23,5,12,1,0,0,1,1,0,0.936
sample_1196,8,2,0,0,27,2,27,0,27,3,28,3,1,1,1,0,8,3,24,1,0,0,1,18,1,26,1,0,0,1,1,2,0.983
sample_1199,8,1,0,0,27,2,27,0,27,0,28,0,1,1,1,0,8,3,24,1,0,0,1,18,3,26,1,0,0,1,1,2,0.983
sample_12,19,12,0,0,20,0,20,2,20,2,21,4,0,0,2,0,38,0,38,0,0,15,0,39,0,11,0,0,0,0,0,2,0.923
sample_120,28,18,0,0,29,1,29,0,29,3,30,7,1,1,1,1,22,5,19,7,0,0,1,4,8,4,1,0,0,0,0,0,0.902
sample_1200,26,1,0,0,0,2,38,4,38,3,39,3,1,1,1,0,23,1,26,1,0,0,1,31,8,30,1,0,0,1,1,0,0.936
sample_1202,1,1,0,0,27,1,27,0,27,0,28,0,1,1,1,0,8,1,24,1,0,0,1,18,1,26,1,0,0,1,1,0,0.983
sample_1203,26,1,0,0,0,1,0,2,0,0,0,0,1,1,1,0,27,3,9,1,0,0,1,31,1,30,1,0,0,1,1,0,0.947
sample_1204,3,1,0,0,22,1,22,2,22,1,23,2,1,1,1,0,24,2,18,3,0,0,1,23,1,12,1,0,0,1,1,0,0.936
sample_1205,8,2,0,0,27,1,27,0,27,3,28,7,1,1,1,0,8,1,24,3,0,0,1,18,5,26,1,0,0,1,1,2,0.971
sample_1206,26,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,0,0,1,1,0,0.936
sample_1207,3,1,0,0,22,1,22,0,22,0,23,0,1,1,1,0,24,1,18,1,0,0,1,23,3,12,1,0,0,1,1,0,0.947
sample_1208,8,1,0,0,27,2,27,0,27,0,28,0,1,1,1,0,8,3,24,1,0,0,1,18,7,26,1,0,0,1,1,2,0.995
sample_1209,26,1,0,0,0,2,0,0,0,3,0,2,1,1,1,0,27,2,9,5,0,0,1,31,8,30,1,3,0,1,1,0,0.925
sample_121,2,18,0,0,5,0,2,0,2,3,2,6,1,3,1,0,17,6,2,6,0,17,1,29,9,33,1,0,0,0,0,0,0.902
sample_1210,3,1,0,0,22,2,22,0,22,0,23,0,1,1,1,0,24,1,18,1,0,0,1,23,1,12,1,0,0,1,1,0,0.936
sample_1211,8,1,0,0,27,1,27,0,27,0,28,0,1,1,1,0,8,1,24,1,0,0,1,18,1,26,1,0,0,1,1,2,0.983
sample_1213,3,1,0,0,22,2,22,0,22,0,23,0,1,1,1,0,24,3,18,3,0,0,1,23,1,12,1,0,0,1,1,0,0.936
sample_1214,8,2,0,0,27,1,27,2,27,0,28,3,1,1,1,0,8,1,24,1,0,0,1,18,5,26,1,0,0,1,1,2,0.983
sample_1216,3,1,0,0,22,1,22,2,22,1,23,0,1,1,1,0,24,3,18,1,0,0,1,23,1,12,1,0,0,1,1,0,0.936
sample_1217,8,1,0,0,27,2,27,0,27,0,28,0,1,1,1,0,8,3,24,1,0,0,1,18,1,26,1,0,0,1,1,2,0.971
sample_1219,3,1,0,0,22,1,22,0,22,3,23,7,1,1,1,0,24,1,18,1,0,0,1,23,1,12,1,0,0,1,1,0,0.925
sample_122,35,3,0,0,38,0,37,0,37,3,38,7,1,1,1,1,31,6,31,6,0,17,1,40,7,35,10,0,0,0,0,2,0.947
sample_1220,8,1,0,0,27,1,27,4,27,0,28,0,1,1,1,0,8,1,24,1,0,0,1,18,1,26,1,0,0,1,1,2,0.971
sample_1222,3,1,0,0,22,2,22,0,22,0,23,0,1,1,1,0,24,1,18,1,0,0,1,23,5,12,1,0,0,1,1,0,0.947
sample_1224,0,2,0,0,0,2,0,0,0,0,0,0,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,0,0,1,1,0,0.936
sample_1225,3,1,0,0,22,1,22,4,22,0,23,0,1,1,1,0,24,3,18,1,0,0,1,23,1,12,1,0,0,1,1,0,0.947
sample_1226,8,1,0,0,27,2,27,0,27,0,28,0,1,1,1,0,8,3,24,1,0,0,1,18,7,26,1,0,2,1,1,2,0.983
sample_1228,3,1,0,0,22,1,22,2,22,0,23,3,1,1,1,0,24,1,18,1,0,0,1,23,1,12,1,0,0,1,1,0,0.925
sample_1230,26,1,0,0,0,1,0,2,0,0,0,0,1,1,1,0,27,3,9,1,0,0,1,41,1,30,1,0,0,1,1,0,0.947
sample_1231,8,1,0,0,27,1,27,0,27,0,28,0,1,1,1,0,8,1,24,1,0,0,1,18,1,26,1,0,0,1,1,2,0.971
sample_1232,26,1,0,0,0,1,0,2,0,1,0,2,1,1,1,0,27,3,9,1,0,0,1,31,1,30,1,0,0,1,1,0,0.936
sample_1233,3,1,0,0,22,2,22,0,22,0,23,0,1,1,1,0,24,1,18,3,0,0,1,23,5,12,1,0,0,1,1,0,0.925
